report_date,word_count,lm_positive,lm_negative,lm_polarity,uncertainty_ratio,litigious_ratio,constraining_ratio,strong_modal_ratio,weak_modal_ratio
2009-12,39743,464,655,-0.17068811423530997,0.015706323983234304,0.017318410022569206,0.006310165353968035,0.0012436092303440651,0.00280963566855511
2010-12,40489,452,807,-0.28196981709136626,0.01641580646628166,0.019553453685598653,0.005593197217043336,0.0014551407393933883,0.0033195398117411667
2011-12,42839,432,733,-0.2583690984906703,0.013411293290264546,0.017132109416526965,0.00825939403851658,0.0010222022324896758,0.0030666066974690273
2012-12,44202,561,712,-0.11861743902700907,0.01323086674061163,0.016756456979876405,0.003208683251465695,0.0009111075899223578,0.0024560291554428775
2013-12,46878,562,872,-0.21617852146710004,0.01232711966325917,0.01912958508719182,0.008230607336139508,0.0007892363199037884,0.002743535778713169
2014-12,39565,408,640,-0.22137404559029192,0.014942688755858741,0.016891735115318576,0.004362151375933918,0.001252958373938466,0.00408371618172537
2015-12,44127,476,659,-0.1612334800341555,0.01456043956043956,0.02861067503924647,0.0097723704866562,0.0011381475667189952,0.0029827315541601255
2016-12,48468,568,975,-0.2637718728037771,0.01824817518248175,0.013925306498476366,0.0049961023315144215,0.001346467295018071,0.004110268584792006
2017-12,53010,591,836,-0.17168885762320332,0.0132650174456983,0.01603118222110458,0.004777920975701757,0.001414516078332757,0.0029233332285543644
2018-12,46206,549,745,-0.15146831518433668,0.016669136168321233,0.014372499629574752,0.00455623055267447,0.0015187435175581568,0.00296340198547933
2019-12,49826,498,777,-0.2188235292401384,0.01701380683928029,0.013570536407521183,0.003713330857779428,0.0017553927691320932,0.0038483610707895893
2020-12,51213,489,1026,-0.3544554453105904,0.015199947811337986,0.019244569117359254,0.010078935351294931,0.0011416269815382608,0.002772522669450062
2021-12,43237,431,950,-0.37581462680969246,0.01428628436888942,0.0148050600582625,0.004349734626281974,0.0012370804900434973,0.002992936669460074
2022-12,44856,430,898,-0.35240963828884814,0.017250028943001584,0.015474858179292247,0.004244973565391889,0.001041948056959827,0.0037432948713001196
2023-12,53231,591,1029,-0.27037037020347504,0.018734223411696723,0.017456889997262855,0.008120190991758158,0.0015510477175268392,0.0033453970378029864
