feature,coefficient,abs_coefficient
num__ltdb_share_of_ncli,-0.05626341690961641,0.05626341690961641
cat__naics_2digit_71,-0.04050484752165627,0.04050484752165627
cat__naics_2digit_55,-0.0391868187445685,0.0391868187445685
num__missingindicator_log_toas_change_clean,-0.03813438162032835,0.03813438162032835
num__missingindicator_log1p_quick_ratio_clean,-0.03800776025356376,0.03800776025356376
num__missingindicator_log1p_current_ratio_clean,-0.030373166886431185,0.030373166886431185
num__missingindicator_ncliGrowthThisYear,0.029558720541437083,0.029558720541437083
num__log1p_quick_ratio_clean,-0.02901129002096581,0.02901129002096581
num__fixed_assets_share,0.027867846521575108,0.027867846521575108
num__de_consumer_confidence_change_clean,0.026431452974881572,0.026431452974881572
num__de_consumer_confidence,-0.02638124189674056,0.02638124189674056
cat__naics_2digit_11,0.025915161561643033,0.025915161561643033
num__is_na_empl,0.023875135234115667,0.023875135234115667
cat__naics_2digit_61,-0.02198066380384743,0.02198066380384743
cat__type_Limited liability company & partnership - GmbH & Co. KG,-0.021074182791057165,0.021074182791057165
cat__naics_2digit_23,0.017622510592793544,0.017622510592793544
num__lm_polarity,-0.01690185898463322,0.01690185898463322
cat__naics_2digit_51,-0.016038052273632114,0.016038052273632114
num__missingindicator_working_capital_to_assets,0.015054414931481267,0.015054414931481267
num__log_toas,-0.014828077699593486,0.014828077699593486
num__log_empl,0.014624917687428312,0.014624917687428312
cat__type_Registered cooperative - eG,0.011868702427230341,0.011868702427230341
cat__naics_2digit_72,-0.01176599870395938,0.01176599870395938
num__missingindicator_log1p_gearing_ratio_clean,-0.011530525369356885,0.011530525369356885
num__litigious_ratio,-0.009808890159175647,0.009808890159175647
num__ncli_growth_volatility_3y,-0.009544751041852225,0.009544751041852225
num__de_construction_confidence_change_clean,0.008697831664942033,0.008697831664942033
num__cash_to_assets,-0.008306145224156887,0.008306145224156887
cat__naics_2digit_22,-0.007949967099930986,0.007949967099930986
num__years_in_panel,0.007702321673091355,0.007702321673091355
cat__naics_2digit_48,0.00733956609413927,0.00733956609413927
num__de_construction_confidence,0.006965851360628547,0.006965851360628547
cat__naics_2digit_56,-0.006712816655182166,0.006712816655182166
num__missingindicator_inventory_share_current_assets,0.006531159244785697,0.006531159244785697
cat__naics_2digit_81,-0.006520220060370137,0.006520220060370137
num__ifo_business_expectations_pct_change_clean,0.006491293963659771,0.006491293963659771
num__log_toas_change_clean,0.006265208541608562,0.006265208541608562
cat__type_Public limited company - AG,0.0058803198181540655,0.0058803198181540655
num__missingindicator_ncli_growth_volatility_3y,0.005849061438080093,0.005849061438080093
cat__naics_2digit_33,0.005157535131717524,0.005157535131717524
cat__naics_2digit_52,-0.005085421019926416,0.005085421019926416
cat__naics_2digit_32,0.004415666788223096,0.004415666788223096
cat__naics_2digit_21,0.003937831709087858,0.003937831709087858
cat__naics_2digit_31,0.003592975744199716,0.003592975744199716
num__receivables_share_current_assets,-0.0034277671186019125,0.0034277671186019125
num__ifo_business_situation_pct_change_clean,-0.0034149430293080067,0.0034149430293080067
cat__naics_2digit_45,0.0032148330836890495,0.0032148330836890495
num__missingindicator_cash_change_to_lagged_assets,-0.0032050778805320515,0.0032050778805320515
cat__naics_2digit_54,0.002237555451790115,0.002237555451790115
num__ncliGrowthThisYear,-0.0019255774182284676,0.0019255774182284676
cat__type_Limited liability company - GmbH,-0.001682542648205392,0.001682542648205392
num__de_services_confidence_change_clean,0.0011691322795650135,0.0011691322795650135
num__missingindicator_cash_to_assets,-0.0010886935733596217,0.0010886935733596217
num__missingindicator_fixed_assets_share,0.0010385315400679796,0.0010385315400679796
num__firm_age,-0.001036627874505783,0.001036627874505783
num__missingindicator_ltdb_share_of_ncli,0.0009972748354981943,0.0009972748354981943
num__working_capital_to_assets,0.0008554495938949115,0.0008554495938949115
cat__naics_2digit_62,-0.0008509206985764751,0.0008509206985764751
num__missingindicator_firm_age,0.0008116730871241477,0.0008116730871241477
num__cash_change_to_lagged_assets,-0.0007138043085117719,0.0007138043085117719
num__inventory_share_current_assets,0.000653634647244136,0.000653634647244136
num__liabilities_to_assets,-0.0004528040318448637,0.0004528040318448637
cat__naics_2digit_44,0.000375161545438799,0.000375161545438799
cat__naics_2digit_42,0.0003686755436122098,0.0003686755436122098
num__log1p_gearing_ratio_clean,0.00029756326526467143,0.00029756326526467143
num__ifo_business_climate,-0.00015499807259023395,0.00015499807259023395
num__missingindicator_receivables_share_current_assets,0.00010280946051027034,0.00010280946051027034
num__weak_modal_ratio,-7.833315365508457e-05,7.833315365508457e-05
num__missingindicator_ifo_business_expectations_pct_change_clean,-5.98251987391869e-05,5.98251987391869e-05
num__solvency_ratio_clean,2.245765672359178e-05,2.245765672359178e-05
num__log1p_current_ratio_clean,-1.3127168935731088e-05,1.3127168935731088e-05
num__de_industry_confidence,-5.142005932992759e-06,5.142005932992759e-06
num__missingindicator_de_services_confidence_change_clean,-2.523644922956497e-07,2.523644922956497e-07
num__missingindicator_de_economic_sentiment_index_pct_change_clean,-1.9993862000011156e-08,1.9993862000011156e-08
num__strong_modal_ratio,-0.0,0.0
num__constraining_ratio,0.0,0.0
num__ifo_business_expectations,-0.0,0.0
num__ifo_business_situation,-0.0,0.0
num__ifo_business_climate_pct_change_clean,-0.0,0.0
num__de_employment_expectations_index_pct_change_clean,-0.0,0.0
num__de_economic_sentiment_index_pct_change_clean,0.0,0.0
num__de_employment_expectations_index,-0.0,0.0
num__de_retail_confidence_change_clean,0.0,0.0
num__de_industry_confidence_change_clean,-0.0,0.0
num__uncertainty_ratio,0.0,0.0
num__de_economic_sentiment_index,-0.0,0.0
num__de_services_confidence,0.0,0.0
