feature,gain
log1p_current_ratio_clean,165.93312072753906
de_construction_confidence_change_clean,94.51155090332031
log1p_quick_ratio_clean,80.33055114746094
lm_polarity,57.99808883666992
uncertainty_ratio,55.43626403808594
ltdb_share_of_ncli,51.23574447631836
is_na_empl,49.68922424316406
log_empl,37.325355529785156
fixed_assets_share,27.086637496948242
log_toas_change_clean,23.24881362915039
de_consumer_confidence_change_clean,22.86406135559082
weak_modal_ratio,20.840423583984375
strong_modal_ratio,20.249055862426758
de_services_confidence,14.002775192260742
ncliGrowthThisYear,13.275068283081055
de_employment_expectations_index_pct_change_clean,13.171504974365234
ifo_business_situation,12.770037651062012
liabilities_to_assets,11.697213172912598
log_toas,11.615233421325684
de_retail_confidence,10.292816162109375
de_retail_confidence_change_clean,9.891403198242188
cash_change_to_lagged_assets,9.659281730651855
years_in_panel,9.298239707946777
de_economic_sentiment_index_pct_change_clean,8.875164985656738
firm_age,8.871397018432617
solvency_ratio_clean,8.534927368164062
log1p_gearing_ratio_clean,8.156648635864258
ncli_growth_volatility_3y,8.123361587524414
de_services_confidence_change_clean,8.00359058380127
receivables_share_current_assets,7.992374420166016
inventory_share_current_assets,7.972134113311768
constraining_ratio,7.812522888183594
de_industry_confidence_change_clean,7.742647647857666
naics_2digit,7.421954154968262
de_employment_expectations_index,7.2464919090271
cash_to_assets,6.971839904785156
ifo_business_expectations,6.510880470275879
de_industry_confidence,6.463449478149414
ifo_business_expectations_pct_change_clean,6.246609687805176
de_economic_sentiment_index,3.9962432384490967
ifo_business_climate_pct_change_clean,3.9824767112731934
working_capital_to_assets,3.765054225921631
de_construction_confidence,3.746839761734009
type,3.6829655170440674
litigious_ratio,3.2508671283721924
ifo_business_climate,3.204254627227783
de_consumer_confidence,2.5276296138763428
ifo_business_situation_pct_change_clean,1.8571250438690186
