feature,importance_mean,importance_std
ltdb_share_of_ncli,0.0066548387209574384,0.0002117187205907718
log_toas_change_clean,0.002186000347137451,0.0001286830184956594
log1p_current_ratio_clean,0.002107044061024984,0.00017276888135050073
log_toas,0.0018812716007232666,5.819222766204007e-05
fixed_assets_share,0.0009003678957621256,4.2582706623057884e-05
ncliGrowthThisYear,0.0007128814856211344,3.3538170612101878e-06
cash_to_assets,0.0004443426926930745,2.901933543450098e-05
working_capital_to_assets,0.00036986668904622394,3.1988776234321306e-05
log_empl,0.0003150800863901774,5.010154997779913e-05
log1p_gearing_ratio_clean,0.00030735135078430176,2.8317172886411784e-05
firm_age,0.00022899111111958823,1.7718098223246667e-05
liabilities_to_assets,0.00021856029828389487,3.1132557686941284e-05
ncli_growth_volatility_3y,0.00020099679629007974,2.4469096125223848e-05
receivables_share_current_assets,0.0001618961493174235,5.581921325694313e-05
de_retail_confidence_change_clean,0.00015307466189066568,1.661356443027784e-05
solvency_ratio_clean,0.00011704365412394206,1.2139129750701918e-05
years_in_panel,7.309516270955403e-05,3.3212183138763215e-05
inventory_share_current_assets,4.404783248901367e-05,3.1512664346099094e-05
de_employment_expectations_index,4.357099533081055e-05,1.2791828900442401e-05
de_industry_confidence_change_clean,4.195173581441244e-05,6.177513363305476e-06
de_economic_sentiment_index_pct_change_clean,2.5391578674316406e-05,1.810411978394473e-05
ifo_business_expectations_pct_change_clean,2.388159434000651e-05,1.0894052238269848e-06
strong_modal_ratio,2.0315249760945637e-05,4.6573909798189175e-06
de_consumer_confidence_change_clean,1.9997358322143555e-05,1.0008819097180456e-05
cash_change_to_lagged_assets,1.7702579498291016e-05,2.3656111605792817e-06
type,1.4841556549072266e-05,9.983407317344901e-06
de_industry_confidence,1.4086564381917318e-05,7.581058405983815e-06
de_economic_sentiment_index,7.311503092447917e-06,2.426567158899073e-06
de_construction_confidence,4.0332476298014326e-06,1.7752336201407971e-06
ifo_business_situation_pct_change_clean,3.854433695475261e-06,1.1946564501843296e-06
de_construction_confidence_change_clean,1.8974145253499348e-06,8.011757587805796e-06
litigious_ratio,3.0795733133951825e-07,6.674360049661328e-07
de_services_confidence,0.0,0.0
ifo_business_expectations,0.0,0.0
ifo_business_climate,0.0,0.0
lm_polarity,0.0,0.0
de_consumer_confidence,0.0,0.0
ifo_business_situation,0.0,0.0
ifo_business_climate_pct_change_clean,-3.884236017862956e-06,8.928546773839522e-07
de_employment_expectations_index_pct_change_clean,-4.092852274576823e-06,3.824721682089197e-06
is_na_empl,-9.447336196899414e-06,5.690032677749349e-06
de_retail_confidence,-1.1861324310302734e-05,9.87532229768091e-07
de_services_confidence_change_clean,-2.6166439056396484e-05,8.124180864847588e-06
naics_2digit,-2.9712915420532227e-05,4.903026415795933e-05
constraining_ratio,-3.097454706827799e-05,5.696654136687505e-06
weak_modal_ratio,-3.540515899658203e-05,6.886894781462336e-06
uncertainty_ratio,-4.517038663228353e-05,3.3968950908502836e-05
log1p_quick_ratio_clean,-0.0002658565839131673,0.00010761490092690772
