model,feature_set,year,RMSE,MAE,R2_oos,R2_oos_within_year,n
Mean,benchmark,2015,0.3881842579702249,0.28862052557888473,0.0,,36060
Mean,benchmark,2016,0.3783427940053228,0.27854609843129036,0.0,,37119
Mean,benchmark,2017,0.4123602070724892,0.30923572624854084,0.0,,47325
Mean,benchmark,2018,0.3896560393415721,0.28933378637202184,0.0,,50255
Mean,benchmark,2019,0.4035273504172526,0.3025031922810876,0.0,,50045
Zero growth,benchmark,2015,0.3950625044314968,0.2894763917874223,-0.0357520132685476,,36060
Zero growth,benchmark,2016,0.3692512790496831,0.2685600282494193,0.04748223724786271,,37119
Zero growth,benchmark,2017,0.42435452482066527,0.31644714767847537,-0.05902003562591318,,47325
Zero growth,benchmark,2018,0.3978420978167305,0.294242066528658,-0.04245819761581848,,50255
Zero growth,benchmark,2019,0.40239038345187206,0.3002129034822096,0.005627203319053531,,50045
Persistence,benchmark,2015,0.5516513051781816,0.41410730781660277,-1.0195446579900271,,36060
Persistence,benchmark,2016,0.5253188359898225,0.38702744989461774,-0.9278578718930786,,37119
Persistence,benchmark,2017,0.5530548736326454,0.41234804633881705,-0.7988002922761674,,47325
Persistence,benchmark,2018,0.5627936343949107,0.4224337749353058,-1.0861019524773705,,50255
Persistence,benchmark,2019,0.5519752902435331,0.411369964399922,-0.8710841565627447,,50045
Lasso,firm,2015,0.37899606916541534,0.2851140633668183,0.046779064183888774,,36060
Lasso,firm,2016,0.3718298461088595,0.2766265358933026,0.03413248367226773,,37119
Lasso,firm,2017,0.39873696305033696,0.30203430994615976,0.06498302496899,,47325
Lasso,firm,2018,0.3780950315690948,0.2831102066288035,0.05845925822573861,,50255
Lasso,firm,2019,0.38837077226460165,0.29232256370040766,0.07370967986680022,,50045
XGBoost,firm,2015,0.3770270603806764,0.2847239962052579,0.0566579256940396,,36060
XGBoost,firm,2016,0.3682503386824438,0.2746955250826151,0.052639274258745705,,37119
XGBoost,firm,2017,0.39495997551714807,0.30161530505357387,0.08261279951302336,,47325
XGBoost,firm,2018,0.37167482203690105,0.28164290383921275,0.09016327966132187,,50255
XGBoost,firm,2019,0.3817126642003834,0.28906454641445967,0.10519750539789274,,50045
Lasso,firm_survey,2015,0.3814176891704999,0.2836567029461879,0.03455881328167021,,36060
Lasso,firm_survey,2016,0.3733303640158284,0.27610652615743875,0.02632124503978117,,37119
Lasso,firm_survey,2017,0.40365993532657135,0.303582090278433,0.041752280205457626,,47325
Lasso,firm_survey,2018,0.3816385643128888,0.2838679336001485,0.04072818766312014,,50255
Lasso,firm_survey,2019,0.39334625091719294,0.2948725989434739,0.04982395171892928,,50045
XGBoost,firm_survey,2015,0.38225914659368787,0.28788985865352673,0.030294334826127534,,36060
XGBoost,firm_survey,2016,0.3666605606020749,0.2736951384675198,0.06080134321621056,,37119
XGBoost,firm_survey,2017,0.39830696410591987,0.3038396569536047,0.06699858690702476,,47325
XGBoost,firm_survey,2018,0.37337239882732703,0.2820413843205121,0.08183317603101414,,50255
XGBoost,firm_survey,2019,0.38214835072471365,0.2889006423430832,0.1031536859777391,,50045
Lasso,firm_survey_text,2015,0.3813552891548869,0.28413559989545606,0.034874680211319786,,36060
Lasso,firm_survey_text,2016,0.3733329418061267,0.27610705897229193,0.02630779878115619,,37119
Lasso,firm_survey_text,2017,0.4036734744961767,0.30359143417428525,0.04168799789827082,,47325
Lasso,firm_survey_text,2018,0.3816303758884933,0.2838643379912589,0.040769351429977285,,50255
Lasso,firm_survey_text,2019,0.39331490126216784,0.2948550343983322,0.049975403546520525,,50045
XGBoost,firm_survey_text,2015,0.38248709032586736,0.28805446715389876,0.029137505833357502,,36060
XGBoost,firm_survey_text,2016,0.36759409626575307,0.27457156981946024,0.056012763847570146,,37119
XGBoost,firm_survey_text,2017,0.3966701621652382,0.3029795194672599,0.07465097991422764,,47325
XGBoost,firm_survey_text,2018,0.37164376291125406,0.28092690963255706,0.0903153349021657,,50255
XGBoost,firm_survey_text,2019,0.38187867929486646,0.28890971715271513,0.10441899821916367,,50045
