sample,model,comparison,delta_RMSE,delta_RMSE_ci_low,delta_RMSE_ci_high,mean_dMSE,p_squared,mean_dMAE,p_absolute,years_favouring_richer,n_year_clusters
development 2015-2019,Lasso,survey given firm fundamentals,0.0036663354500645617,0.002366773248247689,0.004657188925876354,0.0026982588656405916,0.008402995356096789,0.000575634478038026,0.4656076989791338,0/5,5
development 2015-2019,Lasso,text given firm and survey,-1.5628569923265e-05,-3.66308215312694e-05,5.069490556841583e-06,-1.3130641223980165e-05,0.27634305755789645,9.352270118844226e-05,0.3870913884175122,3/5,5
development 2015-2019,Lasso,survey plus text given firm fundamentals,0.0036507068801412967,0.002342554807710895,0.004657207614168435,0.002685128224416611,0.00866003869561445,0.0006691571792264683,0.36003643241423416,0/5,5
development 2015-2019,XGBoost,survey given firm fundamentals,0.00182073260618687,6.0161179503137596e-05,0.003622180302283007,0.00141138797437533,0.18911981321339733,0.0009248808286254689,0.29633751324497054,1/5,5
development 2015-2019,XGBoost,text given firm and survey,-0.0006235909860061728,-0.0013952026782541038,0.0003592821155021242,-0.00038706920802400354,0.38430851519840725,-0.00018489950247112686,0.6354934780846475,3/5,5
development 2015-2019,XGBoost,survey plus text given firm fundamentals,0.0011971416201806973,-0.00014553254510761137,0.0032576620515374355,0.0010243187663513266,0.28851715321188315,0.0007399813261543418,0.37025963634731357,2/5,5
held-out 2020-2022,Lasso,survey given firm fundamentals,0.0016341420979809618,0.00035892290956701656,0.002613467150737958,0.001164767810979998,0.14313261965060978,-0.001041386563659882,0.29440194863541097,0/3,3
held-out 2020-2022,Lasso,text given firm and survey,4.226226440529057e-06,1.8200482357344505e-06,6.694103990345646e-06,3.0578014186703343e-06,0.10656708359071963,2.04002672386339e-06,0.2697331646236513,0/3,3
held-out 2020-2022,Lasso,survey plus text given firm fundamentals,0.0016383683244214908,0.000360742957802751,0.0026201612547283037,0.0011678256123986684,0.14302194822914877,-0.0010393465369360189,0.2957154631523875,0/3,3
held-out 2020-2022,XGBoost,survey given firm fundamentals,-0.0011891641178506385,-0.002356053573368988,-0.0005138663925746134,-0.0009244211617186172,0.14910386610200196,-0.0019242506168003091,0.15748043620709062,3/3,3
held-out 2020-2022,XGBoost,text given firm and survey,-8.251651218088574e-05,-0.0002189202748238417,8.053487812575977e-05,-5.361944790994784e-05,0.488503802162862,0.0002380842050646524,0.39417364336292443,2/3,3
held-out 2020-2022,XGBoost,survey plus text given firm fundamentals,-0.0012716806300315242,-0.0022755186952432283,-0.00059055592120133,-0.0009780406096285652,0.11173397972799128,-0.0016861664117356564,0.12373273709488737,3/3,3
