feature,coefficient,abs_coefficient
num__missingindicator_log1p_current_ratio_clean,-0.05212392053093706,0.05212392053093706
num__ltdb_share_of_ncli,-0.0401109706532103,0.0401109706532103
num__log1p_quick_ratio_clean,-0.02038961840694255,0.02038961840694255
num__missingindicator_log_toas_change_clean,-0.011547874857289881,0.011547874857289881
num__fixed_assets_share,0.009075067425654431,0.009075067425654431
num__missingindicator_log1p_quick_ratio_clean,-0.005308526402019535,0.005308526402019535
num__is_na_empl,0.0018997601956680322,0.0018997601956680322
num__ncli_growth_volatility_3y,-0.0018894365263223193,0.0018894365263223193
num__ncliGrowthThisYear,0.0,0.0
num__log_empl,-0.0,0.0
num__log1p_current_ratio_clean,-0.0,0.0
num__years_in_panel,-0.0,0.0
num__firm_age,-0.0,0.0
num__log_toas_change_clean,0.0,0.0
num__liabilities_to_assets,-0.0,0.0
num__log1p_gearing_ratio_clean,0.0,0.0
num__working_capital_to_assets,0.0,0.0
num__inventory_share_current_assets,0.0,0.0
num__cash_to_assets,-0.0,0.0
num__solvency_ratio_clean,0.0,0.0
num__cash_change_to_lagged_assets,-0.0,0.0
num__log_toas,-0.0,0.0
num__missingindicator_ncliGrowthThisYear,0.0,0.0
num__missingindicator_firm_age,0.0,0.0
num__receivables_share_current_assets,-0.0,0.0
num__missingindicator_cash_change_to_lagged_assets,-0.0,0.0
num__missingindicator_ncli_growth_volatility_3y,0.0,0.0
num__missingindicator_log1p_gearing_ratio_clean,-0.0,0.0
num__missingindicator_working_capital_to_assets,-0.0,0.0
num__missingindicator_inventory_share_current_assets,0.0,0.0
num__missingindicator_receivables_share_current_assets,0.0,0.0
num__missingindicator_cash_to_assets,0.0,0.0
num__missingindicator_fixed_assets_share,0.0,0.0
num__missingindicator_ltdb_share_of_ncli,0.0,0.0
cat__naics_2digit_11,0.0,0.0
cat__naics_2digit_21,0.0,0.0
cat__naics_2digit_22,-0.0,0.0
cat__naics_2digit_23,0.0,0.0
cat__naics_2digit_31,0.0,0.0
cat__naics_2digit_32,0.0,0.0
cat__naics_2digit_33,0.0,0.0
cat__naics_2digit_42,-0.0,0.0
cat__naics_2digit_44,-0.0,0.0
cat__naics_2digit_45,-0.0,0.0
cat__naics_2digit_48,0.0,0.0
cat__naics_2digit_49,-0.0,0.0
cat__naics_2digit_51,-0.0,0.0
cat__naics_2digit_52,-0.0,0.0
cat__naics_2digit_53,0.0,0.0
cat__naics_2digit_54,-0.0,0.0
cat__naics_2digit_55,-0.0,0.0
cat__naics_2digit_56,-0.0,0.0
cat__naics_2digit_61,-0.0,0.0
cat__naics_2digit_62,0.0,0.0
cat__naics_2digit_71,-0.0,0.0
cat__naics_2digit_72,-0.0,0.0
cat__naics_2digit_81,-0.0,0.0
cat__naics_2digit_92,-0.0,0.0
cat__type_Association & partnership - Verein & Co. KG,-0.0,0.0
cat__type_Association - Verein,-0.0,0.0
cat__type_Civil right partnership - GbR,0.0,0.0
cat__type_Entrepreneurial company (limited liability) & partnership - UG & Co. KG,0.0,0.0
cat__type_Entrepreneurial company (limited liability) - UG,0.0,0.0
cat__type_European company - SE,0.0,0.0
cat__type_European cooperative company - SCE,0.0,0.0
cat__type_European economic interest group - EWIV,-0.0,0.0
cat__type_Foreign company,0.0,0.0
cat__type_Foundation,0.0,0.0
cat__type_Foundation & partnership,-0.0,0.0
cat__type_General partnership - OHG,-0.0,0.0
cat__type_Institution under public law,0.0,0.0
cat__type_Limited liability company & partnership - GmbH & Co. KG,-0.0,0.0
cat__type_Limited liability company & partnership by shares - GmbH & Co. KGaA,0.0,0.0
cat__type_Limited liability company - GmbH,0.0,0.0
cat__type_Limited liability partnership,0.0,0.0
cat__type_Limited partnership & partnership - KG & Co. KG,-0.0,0.0
cat__type_Limited partnership - KG,-0.0,0.0
cat__type_Limited partnership by shares - KGaA,-0.0,0.0
cat__type_Public company,0.0,0.0
cat__type_Public corporation,0.0,0.0
cat__type_Public limited company - AG,0.0,0.0
cat__type_Public limited partnership - AG & Co. KG,-0.0,0.0
cat__type_Public limited partnership by shares - AG & Co. KGaA,-0.0,0.0
cat__type_Registered cooperative & partnership - eG & Co. KG,0.0,0.0
cat__type_Registered cooperative - eG,0.0,0.0
cat__type_Registered individual business - e.U.,0.0,0.0
