historical_macro_scenario_year,mean_predicted_growth,median_predicted_growth
2010,-0.048843833562718784,-0.02433584351092577
2011,-0.05525734383829358,-0.029918890446424484
2012,-0.052356274102338465,-0.026324594393372536
2013,0.005919064612590637,0.03126751445233822
2014,-0.03503638879606406,-0.009146471973508596
2015,-0.05978962663725256,-0.03150683641433716
2016,-0.006007768455375981,0.01072212215512991
2017,-0.05489069697090454,-0.025215070694684982
2018,-0.06281299148573344,-0.03529904969036579
2019,-0.024262499134549215,0.003789542824961245
