sample,model,comparison,grouping,contrast,mean_difference_in_dMSE,ci_low,ci_high,p_value,n_year_clusters
development 2015-2019,Lasso,survey given firm,size,large minus small,0.0003627748532712929,-0.0009402391365756542,0.0016657888431182398,0.48266452383351116,5
development 2015-2019,Lasso,text given firm and survey,size,large minus small,-5.833229574917847e-05,-0.00022665299128540287,0.00010998839978704595,0.3904423047571718,5
development 2015-2019,Lasso,survey plus text given firm,size,large minus small,0.00030444255752211423,-0.0009821766611172193,0.0015910617761614478,0.5470794458795448,5
development 2015-2019,Lasso,survey given firm,leverage,high minus low,0.0007624524312707956,1.5091759116485338e-05,0.0015098131034251058,0.047224642305696056,5
development 2015-2019,Lasso,text given firm and survey,leverage,high minus low,1.5456695126080587e-05,-2.4731567306708836e-05,5.564495755887001e-05,0.34575363073276105,5
development 2015-2019,Lasso,survey plus text given firm,leverage,high minus low,0.0007779091263968763,1.6131916957180716e-05,0.0015396863358365718,0.04709413470077235,5
development 2015-2019,Lasso,survey given firm,age,mature minus young,0.0015480937300931335,0.0006017397188947225,0.0024944477412915445,0.010482351849309826,5
development 2015-2019,Lasso,text given firm and survey,age,mature minus young,-8.704244215188789e-06,-2.876615619660095e-05,1.1357667766223373e-05,0.2947512142771824,5
development 2015-2019,Lasso,survey plus text given firm,age,mature minus young,0.001539389485877945,0.0005855696830935237,0.0024932092886623663,0.010981733032557717,5
development 2015-2019,XGBoost,survey given firm,size,large minus small,-0.00106700611338063,-0.0034000700160930503,0.0012660577893317902,0.2730055051310265,5
development 2015-2019,XGBoost,text given firm and survey,size,large minus small,0.0004832027644736868,-0.0008808292394965786,0.0018472347684439522,0.3810240490769547,5
development 2015-2019,XGBoost,survey plus text given firm,size,large minus small,-0.0005838033489069432,-0.002617939748473202,0.0014503330506593155,0.470160424535872,5
development 2015-2019,XGBoost,survey given firm,leverage,high minus low,-0.0003368325052394786,-0.0020728506126660422,0.0013991856021870852,0.6186735171611114,5
development 2015-2019,XGBoost,text given firm and survey,leverage,high minus low,8.872072341389842e-05,-0.00022282682795647305,0.0004002682747842699,0.47338005532381977,5
development 2015-2019,XGBoost,survey plus text given firm,leverage,high minus low,-0.00024811178182558005,-0.0021330181314426913,0.0016367945677915315,0.7332696118549626,5
development 2015-2019,XGBoost,survey given firm,age,mature minus young,-0.0003080007422229859,-0.0014248334790931422,0.0008088319946471705,0.4865454305064493,5
development 2015-2019,XGBoost,text given firm and survey,age,mature minus young,8.163213147765917e-05,-0.00036013922653225735,0.0005234034894875757,0.634956678637862,5
development 2015-2019,XGBoost,survey plus text given firm,age,mature minus young,-0.00022636861074532664,-0.00161589491327637,0.0011631576917857166,0.674488431407553,5
held-out 2020-2022,Lasso,survey given firm,size,large minus small,0.0010345359655663754,-0.0008495477618953729,0.0029186196930281235,0.14197579967924784,3
held-out 2020-2022,Lasso,text given firm and survey,size,large minus small,7.985382581485556e-07,-2.678101492595961e-06,4.275178008893073e-06,0.42719406516574215,3
held-out 2020-2022,Lasso,survey plus text given firm,size,large minus small,0.0010353345038245237,-0.0008513478342804875,0.002922016841929535,0.14211317413757452,3
held-out 2020-2022,Lasso,survey given firm,leverage,high minus low,-0.00016803660646511642,-0.00025167391168622836,-8.439930124400446e-05,0.013119196953282123,3
held-out 2020-2022,Lasso,text given firm and survey,leverage,high minus low,-3.0422965457413187e-06,-8.453312837385315e-06,2.368719745902678e-06,0.1366959957255054,3
held-out 2020-2022,Lasso,survey plus text given firm,leverage,high minus low,-0.0001710789030108578,-0.00025871938409388303,-8.343842192783258e-05,0.013881207524622106,3
held-out 2020-2022,Lasso,survey given firm,age,mature minus young,0.0013083779632362454,0.0008261889740594336,0.0017905669524130572,0.007256847827685752,3
held-out 2020-2022,Lasso,text given firm and survey,age,mature minus young,2.432848334313588e-06,1.928479742322552e-06,2.937216926304624e-06,0.0023135783326175574,3
held-out 2020-2022,Lasso,survey plus text given firm,age,mature minus young,0.0013108108115705592,0.0008291240694550247,0.0017924975536860936,0.007215335161067094,3
held-out 2020-2022,XGBoost,survey given firm,size,large minus small,0.0008516779616006333,0.00023876048992841758,0.001464595433272849,0.02685390423905841,3
held-out 2020-2022,XGBoost,text given firm and survey,size,large minus small,0.0001674243965169394,-0.00019433570577138466,0.0005291844988052634,0.1846939694490404,3
held-out 2020-2022,XGBoost,survey plus text given firm,size,large minus small,0.0010191023581175727,0.0007375702603918217,0.0013006344558433238,0.004097059171581804,3
held-out 2020-2022,XGBoost,survey given firm,leverage,high minus low,-0.00012158617577888319,-0.0011258125342585587,0.0008826401827007924,0.6543440921980312,3
held-out 2020-2022,XGBoost,text given firm and survey,leverage,high minus low,-0.00040597299088805265,-0.0010879928300065978,0.0002760468482304926,0.12459017238217643,3
held-out 2020-2022,XGBoost,survey plus text given firm,leverage,high minus low,-0.0005275591666669358,-0.0011819138975527523,0.00012679556421888079,0.07399628080350565,3
held-out 2020-2022,XGBoost,survey given firm,age,mature minus young,-0.00011731077106345436,-0.0014824806556667668,0.0012478591135398579,0.7470611708830154,3
held-out 2020-2022,XGBoost,text given firm and survey,age,mature minus young,0.0001866983103443908,4.946323982595334e-05,0.00032393338086282824,0.0279675436131476,3
held-out 2020-2022,XGBoost,survey plus text given firm,age,mature minus young,6.938753928093643e-05,-0.0011594516518625543,0.0012982267304244273,0.8306864240449364,3
