sample,model,comparison,grouping,group,n,RMSE_poorer,RMSE_richer,delta_RMSE,ci_low,ci_high,mean_dMSE,p_value,n_year_clusters
development 2015-2019,Lasso,survey given firm,size,small,70522,0.40731256783620706,0.4102350849457021,0.0029225171094950375,0.0012341195045708075,0.004243739514195155,0.0022598931841021157,0.039895681309965215,5
development 2015-2019,Lasso,survey given firm,size,medium,75854,0.38128900186280806,0.385668808512252,0.004379806649443929,0.0029905376918715754,0.005444312886445479,0.003202993248793087,0.006148020469900402,5
development 2015-2019,Lasso,survey given firm,size,large,74428,0.36362024164346607,0.3673238465637483,0.0037036049202822663,0.0028729865288046885,0.004341738497750547,0.0026226680373734085,0.0016086470981371088,5
development 2015-2019,Lasso,text given firm and survey,size,small,70522,0.4102350849457021,0.4102710591412861,3.597419558398762e-05,-1.8509848038417154e-05,0.0001291553929365386,3.37948579879156e-05,0.4395870244970401,5
development 2015-2019,Lasso,text given firm and survey,size,medium,75854,0.385668808512252,0.38561386553556853,-5.49429766834586e-05,-0.00016968646085269157,3.5071304517186874e-06,-5.280330895543479e-05,0.3283831348818132,5
development 2015-2019,Lasso,text given firm and survey,size,large,74428,0.3673238465637483,0.36729562476640665,-2.8221797341687616e-05,-8.607238744084977e-05,6.648578980528175e-06,-2.453743776126288e-05,0.334587682447502,5
development 2015-2019,Lasso,survey plus text given firm,size,small,70522,0.40731256783620706,0.4102710591412861,0.002958491305079025,0.0012746035248257792,0.004234414070355297,0.0022936880420900314,0.03601823617531389,5
development 2015-2019,Lasso,survey plus text given firm,size,medium,75854,0.38128900186280806,0.38561386553556853,0.004324863672760471,0.002874267868347269,0.005442083643695195,0.003150189939837652,0.007081247776693865,5
development 2015-2019,Lasso,survey plus text given firm,size,large,74428,0.36362024164346607,0.36729562476640665,0.0036753831229405787,0.0028160212424874764,0.004335496451971788,0.002598130599612146,0.0018805167762064002,5
development 2015-2019,Lasso,survey given firm,leverage,low,74684,0.3943683223132923,0.3973777531828382,0.003009430869545915,0.002040756497139473,0.0037354236223927084,0.002280767247858261,0.00511644483372917,5
development 2015-2019,Lasso,survey given firm,leverage,mid,74280,0.37300457277697674,0.3769268997018334,0.003922326924856667,0.0023619851120705304,0.005154602714355028,0.002790042407745676,0.013327575607515175,5
development 2015-2019,Lasso,survey given firm,leverage,high,71840,0.3844550618812301,0.3885668666302912,0.004111804749061143,0.0027215667488332818,0.0051736839137322965,0.0030432196791290566,0.008672955285816164,5
development 2015-2019,Lasso,text given firm and survey,leverage,low,74684,0.3973777531828382,0.39734118118034173,-3.6572002496459977e-05,-0.00010534226161335036,6.6188391734667285e-06,-3.420723795918705e-05,0.32137531802001695,5
development 2015-2019,Lasso,text given firm and survey,leverage,mid,74280,0.3769268997018334,0.376938942238544,1.2042536710610285e-05,-1.7489944155013593e-05,5.882420608238475e-05,1.2245824227253125e-05,0.5373441951131892,5
development 2015-2019,Lasso,text given firm and survey,leverage,high,71840,0.3885668666302912,0.3885457375314059,-2.112909888529746e-05,-6.090814610704154e-05,5.21900636968331e-06,-1.875054283310646e-05,0.3106906154839209,5
development 2015-2019,Lasso,survey plus text given firm,leverage,low,74684,0.3943683223132923,0.39734118118034173,0.002972858867049455,0.0019723671581264868,0.003725136006861307,0.002246560009899074,0.005982676258129949,5
development 2015-2019,Lasso,survey plus text given firm,leverage,mid,74280,0.37300457277697674,0.376938942238544,0.0039343694615672775,0.0024008090394709303,0.00514579774384305,0.0028022882319729296,0.012533281079533219,5
development 2015-2019,Lasso,survey plus text given firm,leverage,high,71840,0.3844550618812301,0.3885457375314059,0.004090675650175846,0.002679862477339756,0.0051681725939617396,0.0030244691362959508,0.009024793544555532,5
development 2015-2019,Lasso,survey given firm,age,young,70348,0.41182358876113684,0.41425263387009686,0.0024290451089600817,0.0009650560690390719,0.003467842293026935,0.0018761892198578764,0.04108853488816872,5
development 2015-2019,Lasso,survey given firm,age,middle,64797,0.38865863617664886,0.3921492990069102,0.0034906628302613374,0.002419349190963538,0.004336896144321589,0.0026256814528127525,0.0055547009278547384,5
development 2015-2019,Lasso,survey given firm,age,mature,68313,0.356796358701259,0.36180026061882153,0.005003901917562559,0.003614244527457733,0.006016196884136127,0.00342428294995101,0.003454869775096544,5
development 2015-2019,Lasso,text given firm and survey,age,young,70348,0.41425263387009686,0.41424481020752907,-7.82366256785183e-06,-1.7934175709055644e-05,2.1690148285236077e-06,-6.817114475311407e-06,0.2408107409536749,5
development 2015-2019,Lasso,text given firm and survey,age,middle,64797,0.3921492990069102,0.3921083983954419,-4.090061146827528e-05,-0.0001246734526811344,6.611947007129082e-06,-3.64723532572667e-05,0.33843451735778124,5
development 2015-2019,Lasso,text given firm and survey,age,mature,68313,0.36180026061882153,0.3617802682772045,-1.999234161709218e-05,-4.581092466876546e-05,6.476378430320118e-06,-1.5521358690500193e-05,0.267117149601355,5
development 2015-2019,Lasso,survey plus text given firm,age,young,70348,0.41182358876113684,0.41424481020752907,0.00242122144639223,0.0009558540473663113,0.0034575907314626595,0.0018693721053825649,0.04155121069855357,5
development 2015-2019,Lasso,survey plus text given firm,age,middle,64797,0.38865863617664886,0.3921083983954419,0.003449762218793062,0.0023354130340798585,0.00432982749052907,0.002589209099555486,0.006417298616445832,5
development 2015-2019,Lasso,survey plus text given firm,age,mature,68313,0.356796358701259,0.3617802682772045,0.004983909575945467,0.0035862577187291134,0.006001987330680747,0.00340876159126051,0.0035680388394824735,5
development 2015-2019,XGBoost,survey given firm,size,small,70522,0.404463994150785,0.40676053383171934,0.0022965396809344063,-6.263575889819961e-05,0.004533831996666682,0.0017969905159182851,0.1914069853279032,5
development 2015-2019,XGBoost,survey given firm,size,medium,75854,0.3768917250092983,0.3790158881309705,0.002124163121672129,-0.0001979647716751381,0.0048774810767321375,0.0017306596092314473,0.2516387647460496,5
development 2015-2019,XGBoost,survey given firm,size,large,74428,0.3565980184754979,0.35758706626685627,0.0009890477913583329,0.000254860968357544,0.0017156119408200943,0.0007299844025376549,0.10067029080356348,5
development 2015-2019,XGBoost,text given firm and survey,size,small,70522,0.40676053383171934,0.4058039794512727,-0.000956554380446617,-0.001953711969286176,0.0005192664445400341,-0.0006711956692718278,0.31939574907531815,5
development 2015-2019,XGBoost,text given firm and survey,size,medium,75854,0.3790158881309705,0.37843040936921024,-0.0005854787617602386,-0.0016229388921168986,0.0005864853990408259,-0.00034017532809070496,0.514099317850417,5
