firm_status,model,feature_set,n,benchmark_RMSE,RMSE_improvement_vs_mean,RMSE,MAE,R2_oos,R2_oos_within_year
new in held-out,XGBoost,firm_survey_text,60802,0.4280879746184936,0.009520616149248262,0.41856735846924537,0.31912859172942054,0.04398510646215803,0.03738228113691611
new in held-out,XGBoost,firm_survey,60802,0.4280879746184936,0.00941934617010004,0.4186686284483936,0.3191047720211168,0.043522445825267764,0.03691642508184678
new in held-out,XGBoost,firm,60802,0.4280879746184936,0.008635537148942718,0.4194524374695509,0.3197719511239123,0.03993776116229897,0.033306982387558914
new in held-out,Lasso,firm,60802,0.4280879746184936,0.003985338141855921,0.4241026364766377,0.3215530916148803,0.018532579175149944,0.01175396308252763
new in held-out,Lasso,firm_survey,60802,0.4280879746184936,0.0037832416976301686,0.42430473292086346,0.31965127576218993,0.017596964450552477,0.010811886428686135
new in held-out,Lasso,firm_survey_text,60802,0.4280879746184936,0.003782130417595009,0.4243058442008986,0.3196480453922938,0.01759181849659619,0.010806704933615019
new in held-out,Mean,benchmark,60802,0.4280879746184936,0.0,0.4280879746184936,0.32182925452188493,0.0,-0.006906613453277366
new in held-out,Zero growth,benchmark,60802,0.4280879746184936,-0.00011610299949665892,0.4282040776179903,0.3202998529066191,-0.0005424994426357355,-0.0074528597298619825
new in held-out,Persistence,benchmark,60802,0.4280879746184936,-0.07220258240065441,0.500290557019148,0.37310281287574465,-0.36577310021374143,-0.37520596708180176
seen in development,XGBoost,firm_survey_text,569426,0.37212636912956354,0.009221380213864316,0.3629049889156992,0.2726601012784052,0.048946416961729744,0.04092345878649484
seen in development,XGBoost,firm_survey,569426,0.37212636912956354,0.009141081069374557,0.362985288060189,0.2724228530264178,0.048525495561434484,0.040498986550736915
seen in development,XGBoost,firm,569426,0.37212636912956354,0.00790071845451662,0.3642256506750469,0.2743752018492044,0.042011789152196055,0.033930331403573266
seen in development,Lasso,firm,569426,0.37212636912956354,0.0070696211561735445,0.36505674797339,0.27080452879776146,0.03763488827409023,0.029516507587256102
seen in development,Lasso,firm_survey,569426,0.37212636912956354,0.005256268295213751,0.3668701008343498,0.2699373896742232,0.028050396053950655,0.01985116189935776
seen in development,Lasso,firm_survey_text,569426,0.37212636912956354,0.005251652474007051,0.3668747166555565,0.2699401064547745,0.02802593849359747,0.01982649801836478
seen in development,Mean,benchmark,569426,0.37212636912956354,0.0,0.37212636912956354,0.27316974066350563,0.0,-0.008435863465867444
seen in development,Zero growth,benchmark,569426,0.37212636912956354,-0.00027590732985649513,0.37240227645942003,0.2739225124671662,-0.0014834187327770199,-0.00993179611653705
seen in development,Persistence,benchmark,569426,0.37212636912956354,-0.16460504907019202,0.5367314181997556,0.39699172040545755,-1.0803343729684323,-1.097883789702145
