feature,gain
log1p_current_ratio_clean,61.21394729614258
log1p_quick_ratio_clean,58.3522834777832
ltdb_share_of_ncli,49.77260208129883
is_na_empl,35.37575149536133
working_capital_to_assets,28.8165340423584
log1p_gearing_ratio_clean,19.121057510375977
fixed_assets_share,15.757936477661133
log_empl,14.497217178344727
log_toas_change_clean,13.356462478637695
cash_change_to_lagged_assets,9.818134307861328
years_in_panel,9.47430419921875
ncliGrowthThisYear,9.379650115966797
log_toas,8.763680458068848
ncli_growth_volatility_3y,7.755772590637207
naics_2digit,7.481581211090088
firm_age,7.2235894203186035
solvency_ratio_clean,6.969926357269287
liabilities_to_assets,6.600970268249512
receivables_share_current_assets,6.204606056213379
cash_to_assets,5.4879231452941895
inventory_share_current_assets,5.254353046417236
type,3.2103798389434814
