feature,importance_mean,importance_std
ltdb_share_of_ncli,0.005582918723424275,0.00021362056656749429
log_toas,0.0020810862382253013,1.574635315652954e-05
fixed_assets_share,0.0013139744599660237,1.0972688257245429e-05
log_toas_change_clean,0.00130803386370341,0.00024637200651666456
ncliGrowthThisYear,0.0006928344567616781,4.429371327610022e-05
working_capital_to_assets,0.0006452004114786783,2.780638485777555e-05
cash_to_assets,0.000464250644048055,6.84434771937784e-06
firm_age,0.0003828605016072591,2.134035429601601e-05
log1p_current_ratio_clean,0.0002399782339731852,0.00013655481860913232
ncli_growth_volatility_3y,0.00018737713495890299,3.356365485944357e-05
log_empl,0.00016680359840393066,7.309775622435275e-05
receivables_share_current_assets,0.00011699398358662923,8.702051328144897e-06
solvency_ratio_clean,9.9639097849528e-05,1.9465675079731083e-05
liabilities_to_assets,8.367498715718587e-05,1.7965574486117103e-05
inventory_share_current_assets,6.954868634541829e-05,6.715441949252692e-06
naics_2digit,6.50485356648763e-05,2.0670144495287125e-05
type,5.527337392171224e-05,1.9131517749978043e-05
years_in_panel,3.192822138468424e-05,5.608135816250357e-06
is_na_empl,-6.034970283508301e-05,2.830842059742546e-05
cash_change_to_lagged_assets,-0.0001252889633178711,3.996443650403085e-05
log1p_gearing_ratio_clean,-0.0001962582270304362,1.2538158125662574e-05
log1p_quick_ratio_clean,-0.0006318092346191406,7.809347392391202e-05
