feature_set,RMSE,MAE,R2_oos,R2_oos_within_year,n,mean_year_RMSE,worst_year_RMSE,parameters
firm,0.37935564140026995,0.2869409710336536,0.08091682435925429,0.06837922203428548,220804,0.37872497216351053,0.39495997551714807,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 3000, ""reg_alpha"": 1.0, ""reg_lambda"": 20.0, ""subsample"": 0.9}"
firm,0.37985865387796414,0.28731242508416155,0.0784778633493326,0.06590699012566936,220804,0.37916718011461936,0.3965572540631643,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 3000, ""reg_alpha"": 50.0, ""reg_lambda"": 500.0, ""subsample"": 1.0}"
firm,0.37988519457552555,0.2869964759338234,0.07834908547625208,0.06577645553915556,220804,0.3791726219185369,0.39690965550615714,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 200, ""reg_alpha"": 0.01, ""reg_lambda"": 2000.0, ""subsample"": 0.5}"
firm,0.3799812939516034,0.28717468307382177,0.07788272731395829,0.0653037355879239,220804,0.3792901909298128,0.3962447139002642,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.2, ""max_depth"": 8, ""min_child_weight"": 1000, ""n_estimators"": 800, ""reg_alpha"": 50.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
firm,0.38000781652767623,0.28683899094045273,0.07775399582403963,0.06517324801730429,220804,0.3792823903446956,0.39618521997378725,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 200, ""reg_alpha"": 10.0, ""reg_lambda"": 20.0, ""subsample"": 1.0}"
firm_survey,0.3811763740064568,0.28782011344105324,0.07207329966050824,0.05941505907475675,220804,0.38054948417074463,0.39830696410591987,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 3000, ""reg_alpha"": 1.0, ""reg_lambda"": 20.0, ""subsample"": 0.9}"
firm_survey,0.3813402857109195,0.28800482974658004,0.07127508256368231,0.05860595316090733,220804,0.3807786686108188,0.3985000694806713,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 50, ""n_estimators"": 800, ""reg_alpha"": 10.0, ""reg_lambda"": 5.0, ""subsample"": 0.9}"
firm_survey,0.38184323904263107,0.288414530870922,0.06882365876300112,0.05612108845133179,220804,0.3812312506173909,0.40031130039039237,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.1, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 3000, ""reg_alpha"": 50.0, ""reg_lambda"": 500.0, ""subsample"": 1.0}"
firm_survey,0.3822149239787428,0.2886266843949439,0.06700996857895525,0.05428265695238543,220804,0.38151470811705296,0.40149796533922527,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5000, ""n_estimators"": 200, ""reg_alpha"": 50.0, ""reg_lambda"": 100.0, ""subsample"": 1.0}"
firm_survey,0.3826643399890033,0.2885496688973719,0.06481462170841301,0.05205736242666059,220804,0.38190116014407594,0.40299127394194684,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 200, ""reg_alpha"": 10.0, ""reg_lambda"": 20.0, ""subsample"": 1.0}"
firm_survey_text,0.38055278302045065,0.2875583802058749,0.07510692631056037,0.06249006870901408,220804,0.3800547581925958,0.3966701621652382,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 3000, ""reg_alpha"": 1.0, ""reg_lambda"": 20.0, ""subsample"": 0.9}"
firm_survey_text,0.3811031859740548,0.2874819811508547,0.07242959986266273,0.05977621971866587,220804,0.3805044093219954,0.3989865180157996,"{""colsample_bytree"": 0.3, ""learning_rate"": 0.1, ""max_depth"": 4, ""min_child_weight"": 10, ""n_estimators"": 200, ""reg_alpha"": 0.01, ""reg_lambda"": 2000.0, ""subsample"": 0.5}"
firm_survey_text,0.38110908081255573,0.2879052001939155,0.07240090464206972,0.059747133054432244,220804,0.3805996397047511,0.3981062442880826,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.03, ""max_depth"": 6, ""min_child_weight"": 50, ""n_estimators"": 800, ""reg_alpha"": 10.0, ""reg_lambda"": 5.0, ""subsample"": 0.9}"
firm_survey_text,0.3811115655702309,0.2878476008481665,0.07238880906838041,0.05973487247990639,220804,0.38048314577532794,0.3998268426314529,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.1, ""max_depth"": 6, ""min_child_weight"": 5000, ""n_estimators"": 200, ""reg_alpha"": 50.0, ""reg_lambda"": 100.0, ""subsample"": 1.0}"
firm_survey_text,0.3822929577381411,0.28828391605113846,0.06662896748745861,0.05389645846385527,220804,0.38166354925850376,0.40173506120847735,"{""colsample_bytree"": 0.5, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 10, ""n_estimators"": 200, ""reg_alpha"": 10.0, ""reg_lambda"": 20.0, ""subsample"": 1.0}"
